,Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million
0,New Zealand,7/1/2018,1028039.0,-25904.0,84047.0,222814.0,6183.0,410108.0,10679.0,1779248,0.0
1,Spain,7/1/2018,-53539.0,-220294.0,-329426.0,524212.0,52800.0,394402.0,185016.0,596453,0.0
2,Brazil,7/1/2018,-30457.0,7602.0,-65586.0,-24690.0,38989.0,1373491.0,-17450.0,1325181,0.0
3,Canada,7/1/2018,-10198.0,454486.0,299786.0,-338515.0,74982.0,247739.0,175122.0,946684,0.0
4,France,7/1/2018,160896.0,459644.0,-354011.0,-343738.0,168968.0,-156999.0,-108963.0,-130921,0.0
6,United States of America,7/1/2018,126488.0,1633394.0,-1007790.0,-213278.0,-127075.0,615963.0,-435099.0,635885,0.0
9,Australia,7/1/2018,77640.0,446740.0,19518.0,145560.0,87996.0,845733.0,44409.0,1710878,0.0
10,Argentina,2/1/2020,90416.0,760773.0,159706.0,41319.0,787.0,223084.0,65735.0,1385682,0.0
14,Turkey,7/1/2018,48880.0,-123089.0,55972.0,183366.0,-165838.0,35325.0,58471.0,136369,0.0
15,Australia,2/1/2020,42946.0,270714.0,-24749.0,43632.0,111482.0,896892.0,100511.0,1485290,0.0
16,Norway,7/1/2018,-7083.0,-11092.0,813070.0,-57459.0,-1525.0,-9300.0,-29190.0,740703,0.0
18,Argentina,7/1/2018,74529.0,590148.0,148897.0,101307.0,1076.0,223439.0,38341.0,1221019,0.0
19,Russian Federation,7/1/2018,-179403.0,873893.0,180315.0,-365222.0,-25704.0,-139101.0,-28335.0,359725,0.0
20,South Africa,7/1/2018,4798.0,-63737.0,12916.0,477497.0,-17620.0,-41530.0,9790.0,425396,0.0
22,Thailand,7/1/2018,-19831.0,369894.0,-72599.0,198692.0,23147.0,83449.0,-7350.0,618684,0.0
24,Barbados,2/1/2020,-2376.0,-262.0,-1461.0,-1615.0,46.0,-2815.0,-1242.0,34137,0.0
25,Lithuania,7/1/2018,20274.0,30349.0,1984.0,-30168.0,5288.0,1555.0,1474.0,74038,0.0
30,Costa Rica,7/1/2018,7684.0,-24543.0,2494.0,168403.0,43.0,-2451.0,6709.0,201621,0.0
32,Ireland,7/1/2018,208414.0,-29463.0,26438.0,-46432.0,23235.0,206745.0,-25488.0,406731,0.0
34,Chile,7/1/2018,-11517.0,-72552.0,409119.0,370425.0,-1454.0,-44960.0,2015.0,694358,0.0
35,Bosnia and Herzegovina,2/1/2020,-3191.0,-10308.0,-722.0,-4911.0,-2794.0,-9817.0,-5773.0,6346,0.0
36,Madagascar,7/1/2018,-2491.0,-4839.0,10644.0,-68.0,-166.0,-6.0,4088.0,50444,0.0
37,Paraguay,7/1/2018,-2907.0,53906.0,-318.0,31.0,-703.0,113985.0,-1470.0,205806,0.0
38,Brazil,2/1/2020,-18188.0,-32172.0,-102907.0,16783.0,7886.0,1179062.0,-37267.0,1057059,0.0
42,Serbia,7/1/2018,2352.0,41519.0,-3517.0,42939.0,-1036.0,-1788.0,11876.0,135627,0.0
46,United Kingdom,7/1/2018,-181219.0,-125969.0,-73736.0,-510034.0,-797.0,-310477.0,-291588.0,-1450538,0.0
